B2,B3,B4,B5,B6,B7
0.05,0.0722,0.0741,0.2135,0.1637,0.1264
0.0312,0.0549,0.04705,0.30545,0.155,0.0814
0.0344,0.0535,0.0451,0.2303,0.11285,0.06335
0.0121,0.02535,0.02245,0.1066,0.05445,0.03475
0.04075,0.06245,0.0596,0.1809,0.16155,0.10265
0.07275,0.0967,0.1154,0.2233,0.27965,0.2053
0.0467,0.0625,0.0659,0.1991,0.1335,0.0806
0.0487,0.07465,0.084,0.24275,0.2117,0.13805
0.04145,0.0679,0.06665,0.26125,0.21345,0.1262
0.0276,0.04675,0.0442,0.17595,0.12685,0.0755
0.0343,0.05095,0.05235,0.1867,0.15535,0.09205
0.0337,0.0514,0.0522,0.212,0.1071,0.0626
0.0237,0.0432,0.0343,0.2108,0.0997,0.0514
0.05605,0.0795,0.08945,0.269,0.2334,0.1604
0.0592,0.0882,0.0929,0.2543,0.2408,0.1716
0.0407,0.0644,0.0574,0.1828,0.1044,0.0801
0.0316,0.0534,0.0442,0.2298,0.1402,0.0863
0.0311,0.0511,0.048,0.2214,0.1291,0.0681
0.0268,0.0446,0.0439,0.1926,0.1144,0.0636
0.0258,0.0478,0.02965,0.25275,0.1204,0.05575
0.0284,0.04555,0.0298,0.23015,0.12275,0.05865
0.0467,0.0654,0.0622,0.22,0.1889,0.1057
0.0376,0.055,0.0376,0.2247,0.1237,0.0671
0.0211,0.0379,0.02235,0.20005,0.08745,0.0407
0.0211,0.0385,0.0237,0.2118,0.0886,0.0402
0.0258,0.0469,0.03065,0.1898,0.08755,0.04555
0.0259,0.0495,0.0321,0.1514,0.0394,0.0226
0.0241,0.0387,0.0222,0.2334,0.0664,0.0338
0.0255,0.0458,0.02985,0.2417,0.08445,0.04235
0.01545,0.03455,0.0188,0.197,0.05905,0.02725
0.02855,0.0498,0.0414,0.23595,0.12105,0.0688
0.0206,0.0405,0.0233,0.2445,0.0809,0.036
0.037,0.06,0.0497,0.2362,0.1225,0.062
0.0236,0.03965,0.02915,0.1785,0.0994,0.0512
0.0367,0.0559,0.04225,0.20505,0.0873,0.05045
0.0281,0.0527,0.0389,0.2324,0.1023,0.063
0.0202,0.0383,0.028,0.1717,0.0877,0.0464
0.02065,0.0399,0.0273,0.1849,0.10045,0.049
0.0169,0.0362,0.0264,0.2208,0.0814,0.0404
0.01985,0.0444,0.0268,0.23185,0.09435,0.04595
0.0355,0.0569,0.0585,0.2216,0.1335,0.0956
0.027,0.0468,0.0402,0.1917,0.1233,0.0716
0.0276,0.0469,0.0341,0.1956,0.1129,0.0586
0.01675,0.03175,0.02445,0.1524,0.0738,0.03985
0.01205,0.0262,0.01795,0.1273,0.0593,0.03285
0.0216,0.0362,0.0294,0.1831,0.0983,0.0518
0.02215,0.0346,0.0263,0.18465,0.06915,0.0383
0.024,0.0429,0.0312,0.2193,0.1033,0.0538
0.0291,0.0537,0.03665,0.28415,0.1337,0.0657
0.0667,0.0766,0.0842,0.1097,0.0642,0.0558
0.0219,0.0329,0.0388,0.0788,0.0713,0.0696
0.0502,0.079,0.07645,0.30155,0.2056,0.12065
0.0802,0.1061,0.1003,0.3168,0.1947,0.1229
0.0546,0.07615,0.0724,0.32665,0.20715,0.12175
0.0494,0.07675,0.0744,0.3262,0.22375,0.1308
0.0475,0.07915,0.06985,0.28075,0.16025,0.10185
0.03825,0.06805,0.0624,0.30665,0.17065,0.0952
0.0406,0.0693,0.06095,0.31345,0.181,0.09985
0.046,0.0792,0.0725,0.3736,0.2015,0.1125
0.0356,0.0585,0.0448,0.3441,0.1679,0.0853
0.037,0.0611,0.0535,0.3099,0.1641,0.0989
0.04695,0.06385,0.0571,0.2426,0.1491,0.08845
0.04185,0.0627,0.04795,0.30795,0.1644,0.0844
0.0275,0.0492,0.0364,0.2979,0.1086,0.0503
0.0207,0.0439,0.0314,0.2733,0.1253,0.0563
0.0205,0.0371,0.0217,0.2669,0.0987,0.0426
0.02215,0.0383,0.0314,0.19155,0.09855,0.04675
0.0321,0.0512,0.0419,0.2506,0.1185,0.0681
0.0229,0.0403,0.0261,0.2859,0.0867,0.0464
0.1009,0.1223,0.0973,0.1975,0.04875,0.02525
0.0285,0.0433,0.0395,0.1438,0.0821,0.0463
0.048,0.0651,0.0584,0.2121,0.13935,0.08425
0.0451,0.0618,0.0665,0.1801,0.1616,0.1352
0.02625,0.0364,0.03535,0.14335,0.08195,0.04955
0.0163,0.0335,0.0242,0.1635,0.0765,0.0466
0.0268,0.0388,0.0375,0.1314,0.0931,0.0705
0.0513,0.0722,0.07795,0.1712,0.20535,0.13795
0.0555,0.0759,0.095,0.2555,0.2304,0.1487
0.0541,0.0758,0.082,0.2299,0.2365,0.1557
0.031,0.0507,0.043,0.2227,0.1355,0.0792
0.0187,0.0366,0.0284,0.1934,0.0791,0.0456
0.0173,0.0379,0.0301,0.1828,0.0919,0.0473
0.0309,0.0493,0.0504,0.198,0.132,0.0765
0.0252,0.0436,0.0375,0.17555,0.10875,0.05965
0.02405,0.0434,0.0366,0.1635,0.1085,0.05855
0.0269,0.04535,0.03855,0.1879,0.0926,0.05
0.0304,0.0532,0.04655,0.24865,0.12705,0.0729
0.03915,0.0591,0.0658,0.20625,0.15795,0.09065
0.02595,0.04595,0.03905,0.2117,0.09145,0.04545
0.028,0.0568,0.0375,0.17195,0.0727,0.0379
0.03295,0.0539,0.04915,0.1966,0.1093,0.06155
0.0313,0.0556,0.0399,0.1861,0.1023,0.057
